,image_file,label_file,large_category,medium_category,small_category,핏,촉감,신축성,비침,두께,계절,major_style,minor_style
0,BOTTOMS_LONG_COTTON_image_1005_0.jpg,1005_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,보통,보통,보통,보통,"봄, 여름, 가을",캐주얼,스트릿
1,BOTTOMS_LONG_COTTON_image_1010_1.jpg,1010_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"루즈, 오버 사이즈",부드러움,보통,약간 있음,약간 얇음,"봄, 여름, 가을",캐주얼,스트릿
2,BOTTOMS_LONG_COTTON_image_1012_3.jpg,1012_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,거의 없음,약간 얇음,"봄, 가을, 겨울",미니멀,캐주얼
3,BOTTOMS_LONG_COTTON_image_1014_1.jpg,1014_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,거의 없음,약간 얇음,"봄, 가을, 겨울",미니멀,캐주얼
4,BOTTOMS_LONG_COTTON_image_1016_1.jpg,1016_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,없음,보통,"봄, 가을, 겨울",캐주얼,스트릿
5,BOTTOMS_LONG_COTTON_image_1018_0.jpg,1018_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,있음,없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
6,BOTTOMS_LONG_COTTON_image_101_6.jpg,101_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,보통,보통,"봄, 여름, 가을",캐주얼,스트릿
7,BOTTOMS_LONG_COTTON_image_1023_1.jpg,1023_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,보통,보통,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
8,BOTTOMS_LONG_COTTON_image_1027_0.jpg,1027_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,있음,없음,보통,"봄, 가을",캐주얼,스트릿
9,BOTTOMS_LONG_COTTON_image_1027_1.jpg,1027_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,거의 없음,보통,보통,"봄, 여름, 가을",캐주얼,스트릿
10,BOTTOMS_LONG_COTTON_image_1029_1.jpg,1029_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,없음,보통,"봄, 가을",미니멀,캐주얼
11,BOTTOMS_LONG_COTTON_image_1035_1.jpg,1035_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,보통,없음,보통,"봄, 여름, 가을",미니멀,캐주얼
12,BOTTOMS_LONG_COTTON_image_1037_4.jpg,1037_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,보통,약간 있음,없음,약간 두꺼움,"봄, 가을, 겨울",캐주얼,스트릿
13,BOTTOMS_LONG_COTTON_image_103_1.jpg,103_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,보통,보통,여름,미니멀,캐주얼
14,BOTTOMS_LONG_COTTON_image_1042_0.jpg,1042_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 루즈",보통,보통,보통,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
15,BOTTOMS_LONG_COTTON_image_1051_4.jpg,1051_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,보통,보통,보통,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
16,BOTTOMS_LONG_COTTON_image_1055_0.jpg,1055_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,부드러움,있음,거의 없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
17,BOTTOMS_LONG_COTTON_image_1056_0.jpg,1056_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,보통,거의 없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
18,BOTTOMS_LONG_COTTON_image_1059_0.jpg,1059_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,"레귤러, 루즈","약간 부드러움, 보통","보통, 약간 있음",없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
19,BOTTOMS_LONG_COTTON_image_1063_6.jpg,1063_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,부드러움,있음,약간 있음,약간 얇음,"봄, 여름, 가을",미니멀,캐주얼
20,BOTTOMS_LONG_COTTON_image_1069_0.jpg,1069_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,부드러움,있음,없음,보통,"봄, 여름, 가을, 겨울",미니멀,캐주얼
21,BOTTOMS_LONG_COTTON_image_1073_1.jpg,1073_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,약간 부드러움,있음,없음,보통,"봄, 여름, 가을",캐주얼,스트릿
22,BOTTOMS_LONG_COTTON_image_1075_0.jpg,1075_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,오버 사이즈,보통,보통,없음,보통,"봄, 여름",캐주얼,스트릿
23,BOTTOMS_LONG_COTTON_image_1076_1.jpg,1076_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,부드러움,있음,약간 있음,얇음,"봄, 여름, 가을",미니멀,캐주얼
24,BOTTOMS_LONG_COTTON_image_1082_0.jpg,1082_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,보통,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
25,BOTTOMS_LONG_COTTON_image_1083_0.jpg,1083_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,보통,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
26,BOTTOMS_LONG_COTTON_image_1088_1.jpg,1088_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,보통,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
27,BOTTOMS_LONG_COTTON_image_1088_2.jpg,1088_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,보통,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
28,BOTTOMS_LONG_COTTON_image_1088_3.jpg,1088_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,보통,없음,보통,"봄, 가을, 겨울",미니멀,캐주얼
29,BOTTOMS_LONG_COTTON_image_1099_1.jpg,1099_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,보통,보통,보통,보통,"봄, 가을, 겨울",캐주얼,스트릿
30,BOTTOMS_LONG_COTTON_image_10_1.jpg,10_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,부드러움,보통,없음,보통,"봄, 가을",미니멀,캐주얼
31,BOTTOMS_LONG_COTTON_image_10_2.jpg,10_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,레귤러,부드러움,보통,없음,보통,"봄, 가을",미니멀,캐주얼
32,BOTTOMS_LONG_COTTON_image_10_3.jpg,10_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,약간 부드러움,약간 있음,없음,보통,"봄, 여름, 가을",미니멀,캐주얼
33,BOTTOMS_LONG_COTTON_image_10_4.jpg,10_label_BOTTOMS_LONG_COTTON.json,TOPS,LONG,TSHIRTS,루즈,부드러움,보통,없음,보통,"봄, 여름, 가을, 겨울",캐주얼,스트릿
